"","store_name","borough","year","store_address","latitude","longitude","type"
"7004","JUICE PRESS LLC THE","Manhattan",2014,"87 42ND ST",40.752424528,-73.977545115,"retail store"
"7005","198 BAINBRIDGE DELI & GROCERY CORP","Bronx",2014,"2839 BAINBRIDGE AVE",40.868527759,-73.88852243,"retail store"
"7006","COCONUT COTTAGE CORP","Queens",2014,"64-04 39TH AVE",40.746296561,-73.89968218,"retail store"
"7007","DEEN GOURMET DELI CORP","Brooklyn",2014,"1427 FLATBUSHE AVE #2",40.635885187,-73.950644738,"retail store"
"7008","LA FUENTE BAILEY DELI & GROCERY INC","Bronx",2014,"148 W 231 ST",40.878066658,-73.902876272,"retail store"
"7009","SHIVSHAKTEE INC","Queens",2014,"66-99 FRESH POND RD",40.706333323,-73.896089193,"retail store"
"7010","SYED AND BABUL INC","Queens",2014,"75-19 101 AVE",40.679961341,-73.861608558,"retail store"
"7011","SEHAM ENTERPRISES INC","Bronx",2014,"1811 WHITE PLAINS RD",40.845576097,-73.866446341,"retail store"
"7012","SOUTHERN BLVD MEAT MARKET CORP","Bronx",2014,"1091 SOUTHERN BLVD",40.825804696,-73.892129079,"retail store"
"7013","VEGANO SUPERMARKET CORP","Bronx",2014,"234-238 E 181 ST.",40.854246756,-73.900420123,"retail store"
"7014","AMAL DELI CORP","Bronx",2014,"909 SHERDIAN AVE",40.827461672,-73.920697371,"retail store"
"7015","TARGEE GAS & MART INC","Staten Island",2014,"175 TARGEE ST",40.622947384,-74.083469824,"retail store"
"7016","2918 SALMAN DELI CORP","Brooklyn",2014,"2918 BEVERLEY RD",40.645011654,-73.949198608,"retail store"
"7017","1088 FLATBUSH DELI INC","Brooklyn",2014,"1088 FLATBUSH AVE",40.64393085,-73.958046294,"retail store"
"7018","DELICIOUS DELUXE DELI & GRILL CORP","Queens",2014,"118-65 FARMERS BOULEVARD",40.688433643,-73.761764753,"retail store"
"7019","VILLA TAPIA CITI FRESH SUPERMARKET CORP","Brooklyn",2014,"40 NOSTRAND AVENUE",40.698712622,-73.953362402,"retail store"
"7020","RALPHS PRODUCE INC","Brooklyn",2014,"507 KINGS HWY",40.604494876,-73.970717804,"retail store"
"7021","MY HB DELI INC","Queens",2014,"159-54 102ND ST",40.658859271,-73.831312337,"retail store"
"7022","NETOS GROUP MARKET LLC","Manhattan",2014,"1391 ST NICHOLAS AVE",40.848410898,-73.934620551,"retail store"
"7023","DELI GROCERY GUATELMALTECA CORP","Brooklyn",2014,"7710 17TH AVE",40.613529352,-73.999946925,"retail store"
"7024","BIO DRUG INC","Manhattan",2014,"55 W 39TH ST",40.752727785,-73.984726059,"retail store"
"7025","HUDSON GROUP (HG) RETAIL LLC","Manhattan",2014,"625 8TH AVE",40.756377434,-73.990644186,"retail store"
"7026","ACATLAN FOOD INC","Staten Island",2014,"585 MIDLAND AVE",40.572419218,-74.092731659,"retail store"
"7027","AMARI YANOUF A","Queens",2014,"135-28 ROCKAWAY BLVD",40.674316213,-73.802584956,"retail store"
"7028","DHYIA GROCERY AND CONVENIENCE STORE INC","Queens",2014,"60-02 KISSENA BLVD",40.739871916,-73.815294855,"retail store"
"7029","PARADISE FRESH FOODS LLC","Queens",2014,"123-12 101 AVE",40.690933713,-73.822104732,"retail store"
"7030","EXPRESS GROCERY INC","Queens",2014,"226-21 MERRICK BLVD",40.67718714,-73.743135135,"retail store"
"7031","FAMILY DOLLAR STORES OF NEW YORK LLC","Brooklyn",2014,"741 RALPH AVE",40.664792047,-73.922101838,"retail store"
"7032","EMERALD AND WHITE MARKETS INC","Manhattan",2014,"1331 1ST AVE",40.767479474,-73.956465551,"retail store"
"7033","VS QUICK MART INC","Brooklyn",2014,"845 VAN SICLEN AVE",40.659248443,-73.8845308,"retail store"
"7034","711 FOOD MART & DELI CORP","Brooklyn",2014,"711 KNICKERBOCKER AVENUE",40.694288947,-73.910161152,"retail store"
"7035","VICJONA MEAT MARKET INC","Bronx",2014,"733 E TREMONT AVE",40.844905042,-73.889808298,"retail store"
"7036","RUSC INC","Bronx",2014,"685 E 187TH ST",40.854473948,-73.88505425,"retail store"
"7037","KHAAMAR BAARI SUPERMARKET LLC","Queens",2014,"183-19 HILLSIDE AVE",40.714162062,-73.778224296,"retail store"
"7038","WING FUNG HONG LTD","Manhattan",2014,"53-55 DIVISION STREET",40.714139138,-73.995003111,"retail store"
"7039","DANIELS WILLIAM C","Brooklyn",2014,"1022 RUTLAND RD",40.662959824,-73.925706145,"retail store"
"7040","FAD OZONE FOOD CORP","Queens",2014,"101-16 77 STREET",40.679486003,-73.860644807,"retail store"
"7041","ASTORIA CENTER INC","Queens",2014,"44-02 ASTORIA BLVD",40.767902676,-73.906970999,"retail store"
"7042","E AND G GROCERY CORP","Manhattan",2014,"51 THAYER STREET",40.863040546,-73.926652797,"retail store"
"7043","XIANGFU GROCERY INC","Brooklyn",2014,"5111 7TH AVENUE",40.64156862,-74.006627888,"retail store"
"7044","MELLICK DELI GROCERY CORP","Queens",2014,"119-02 MERRICK BLVD",40.68564293,-73.773200602,"retail store"
"7045","PLACITA OXAQUENA CORP","Brooklyn",2014,"709 MYRTLE AVE",40.694879243,-73.954595632,"retail store"
"7046","AWESOME DELI 1 INC","Brooklyn",2014,"60 BROADWAY",40.710424949,-73.966258883,"retail store"
"7047","VILLAGE GREEN CAFE INC","Staten Island",2014,"262 ARDEN AVENUE",40.552762524,-74.193362693,"retail store"
"7048","MAHI AMBE INC","Brooklyn",2014,"9516 4TH AVENUE",40.615621391,-74.031504036,"retail store"
"7049","GRADYS COLD BREW INC","Bronx",2014,"819 GARRISON AVE",40.815728768,-73.893574958,"retail store"
"7050","PABLO SOTO","Brooklyn",2014,"202 STONE AVE",40.674504527,-73.908395447,"retail store"
"7051","59-5 FRUIT & VEGETABLE CORP","Manhattan",2014,"59 5TH AVENUE",40.735090836,-73.994069031,"retail store"
"7052","NATURAL AND ORGANIC DELI CORP","Brooklyn",2014,"1203 MYRTLE AVE",40.697459318,-73.9319743,"retail store"
"7053","EL PRINCIPE GROCERY STORE CORP","Bronx",2014,"237 EAST 203RD STREET",40.873728437,-73.885218033,"retail store"
"7054","MELDI USA INC","Brooklyn",2014,"6424 20TH AVE",40.616735178,-73.985852419,"retail store"
"7055","NEIGHBORHOOD DELI & GROCERY CORP","Brooklyn",2014,"326 GREENWOOD AVE",40.650460897,-73.97794401,"retail store"
"7056","YELLOW BASKET LLC THE","Brooklyn",2014,"73 DIVISION AVE",40.707407086,-73.965832244,"retail store"
"7057","MARIA FOOD MARKET CORP","Bronx",2014,"920 PROSPECT AVE",40.821749992,-73.900558089,"retail store"
"7058","J & R DISTRIBUTORS INC","Brooklyn",2014,"110 MOORE STREET",40.703818081,-73.941082831,"retail store"
"7059","ZUDY 59 CORP","Brooklyn",2014,"59 LAFAYETTE AVENUE",40.687196977,-73.976127484,"retail store"
"7060","ZOON 410 CORP","Brooklyn",2014,"410 KNICKERBOCKER AVE",40.69967235,-73.920091192,"retail store"
"7061","FOOD STORY NATURAL MARKET INC","Brooklyn",2014,"40 BOGART STREET",40.704963804,-73.933075012,"retail store"
