zip,est_mean_income,est_median_income
12957,59350,48929
12958,81223,65977
12959,49014,42984
12960,47442,39922
12961,18579,15995
12962,77768,62176
12964,74300,61563
12966,70617,53789
12967,77740,51250
12969,55443,47292
12970,126583,78750
12972,90305,84659
12973,65065,49792
12974,70649,53417
12975,58245,54750
12976,87994,74583
12978,70302,73969
12979,57619,44722
12980,57660,51875
12981,81895,75978
12983,73489,55054
12985,65767,54167
12986,78120,56672
12987,93579,95104
12989,79362,67917
12992,90233,64688
12993,77669,51645
12996,98240,69267
12997,82206,60781
12998,58858,44727
13020,68683,63750
13021,71023,51517
13026,90965,79955
13027,97339,79989
13028,71172,75550
13029,94645,80269
13030,80281,68696
13031,93789,77622
13032,72533,62686
13033,87933,67821
13034,109435,78864
13035,118648,82277
13036,83579,68807
13037,91977,77316
13039,103937,93448
13040,67706,58438
13041,102059,84888
13042,84045,72188
13044,95346,71023
13045,72698,57420
13052,68674,52321
13053,84828,65333
13054,86832,85679
13057,76885,64219
13060,62150,50840
13061,80855,70402
13063,113499,74946
13064,142474,110625
13066,137207,100683
13068,88133,72228
13069,69855,53941
13071,83754,65625
13072,63214,55144
13073,74345,60662
13074,72465,69792
13076,89305,76875
13077,80461,60331
13078,122656,92800
13080,86552,61739
13081,111418,87214
13082,77386,74052
13083,75571,69000
13084,90217,75217
13087,142833,162604
13088,77812,62077
13090,90954,73890
13092,78852,71149
13101,63025,61086
13102,60552,63750
13104,147718,107512
13108,95606,78300
13110,98724,89615
13111,50284,40417
13112,84487,75717
13113,82023,92500
13114,79750,65086
13115,87383,67500
13116,79483,63415
13117,41518,35125
13118,75437,63902
13120,77363,65714
13122,58196,48693
13124,75881,61667
13126,73227,54759
13131,78945,57156
13132,79896,70278
13134,81127,92500
13135,80035,64531
13136,60926,48523
13140,72646,53958
13141,75167,66591
13142,86977,63333
13143,67180,60594
13144,62573,49432
13145,58573,46667
13146,67075,56799
13147,61556,56875
13148,67986,51735
13152,141874,87258
13155,73830,55859
13156,69027,51767
13157,48863,38250
13158,79032,73846
13159,105022,77609
13160,85730,74922
13163,69359,68125
13164,94007,94324
13165,68476,55083
13166,80199,63922
13167,75683,66538
13202,38318,17031
13203,58714,39129
13204,48413,35431
13205,46487,32237
13206,63246,48698
13207,65268,50885
13208,53833,40515
13209,65737,54545
13210,49815,33346
13211,70032,59534
13212,77347,63410
13214,91287,69987
13215,108812,88294
13219,85477,71126
